,Country,Date,Suspected/Confirmed/Probable Cases,Suspected/Confirmed/Probable Deaths,Difference Cases/Deaths
1,Guinea,2014-08-29,648.0,430,218.0
2,Guinea,2014-09-05,812.0,517,295.0
3,Guinea,2014-09-08,862.0,555,307.0
4,Guinea,2014-09-12,861.0,557,304.0
5,Guinea,2014-09-16,936.0,595,341.0
6,Guinea,2014-09-18,942.0,601,341.0
7,Guinea,2014-09-22,1008.0,632,376.0
8,Guinea,2014-09-24,1022.0,635,387.0
9,Guinea,2014-09-26,1074.0,648,426.0
10,Guinea,2014-10-01,1157.0,710,447.0
11,Guinea,2014-10-03,1199.0,739,460.0
12,Guinea,2014-10-08,1298.0,768,530.0
13,Guinea,2014-10-10,1350.0,778,572.0
14,Guinea,2014-10-15,1472.0,843,629.0
15,Guinea,2014-10-17,1519.0,862,657.0
16,Guinea,2014-10-22,1540.0,904,636.0
17,Guinea,2014-10-25,1553.0,926,627.0
18,Guinea,2014-10-29,1906.0,997,909.0
19,Guinea,2014-10-31,1667.0,1018,649.0
20,Guinea,2014-11-05,1731.0,1041,690.0
21,Guinea,2014-11-07,1760.0,1054,706.0
22,Guinea,2014-11-12,1878.0,1142,736.0
23,Guinea,2014-11-14,1919.0,1166,753.0
24,Guinea,2014-11-19,1971.0,1192,779.0
25,Guinea,2014-11-21,2047.0,1214,833.0
26,Guinea,2014-11-26,2134.0,1260,874.0
27,Guinea,2014-12-01,2155.0,1312,843.0
28,Guinea,2014-12-03,2164.0,1327,837.0
29,Guinea,2014-12-10,2292.0,1428,864.0
30,Guinea,2014-12-15,2394.0,1518,876.0
31,Guinea,2014-12-17,2416.0,1525,891.0
32,Guinea,2014-12-22,2571.0,1586,985.0
33,Guinea,2014-12-23,2597.0,1607,990.0
34,Guinea,2014-12-24,2597.0,1607,990.0
35,Guinea,2014-12-26,2630.0,1654,976.0
36,Guinea,2014-12-29,2695.0,1697,998.0
37,Guinea,2014-12-30,2706.0,1708,998.0
38,Guinea,2014-12-31,2707.0,1709,998.0
39,Guinea,2015-01-02,2730.0,1739,991.0
40,Guinea,2015-01-05,2769.0,1767,1002.0
41,Guinea,2015-01-06,2775.0,1781,994.0
42,Guinea,2015-01-07,2775.0,1781,994.0
43,Guinea,2015-01-08,2776.0,1786,990.0
44,Guinea,2015-01-09,2793.0,1797,996.0
45,Guinea,2015-01-12,2799.0,1807,992.0
46,Guinea,2015-01-13,2799.0,1807,992.0
47,Guinea,2015-01-14,2806.0,1814,992.0
48,Guinea,2015-01-15,2817.0,1821,996.0
49,Guinea,2015-01-16,2825.0,1829,996.0
50,Guinea,2015-01-19,2873.0,1875,998.0
51,Guinea,2015-01-20,2871.0,1876,995.0
52,Guinea,2015-01-21,2871.0,1876,995.0
53,Guinea,2015-01-22,2873.0,1879,994.0
54,Guinea,2015-01-23,2873.0,1880,993.0
55,Guinea,2015-01-26,2909.0,1906,1003.0
56,Guinea,2015-01-27,2917.0,1910,1007.0
57,Guinea,2015-01-28,2917.0,1910,1007.0
58,Guinea,2015-01-29,2921.0,1911,1010.0
59,Guinea,2015-01-30,2920.0,1913,1007.0
60,Guinea,2015-02-02,2959.0,1937,1022.0
61,Guinea,2015-02-03,2975.0,1944,1031.0
62,Guinea,2015-02-04,2975.0,1944,1031.0
63,Guinea,2015-02-05,2986.0,1947,1039.0
64,Guinea,2015-02-06,2988.0,1957,1031.0
65,Guinea,2015-02-10,3044.0,1995,1049.0
66,Guinea,2015-02-11,3044.0,1995,1049.0
67,Guinea,2015-02-12,3068.0,2018,1050.0
68,Guinea,2015-02-13,3081.0,2032,1049.0
69,Guinea,2015-02-16,3101.0,2052,1049.0
70,Guinea,2015-02-17,3108.0,2057,1051.0
71,Guinea,2015-02-18,3108.0,2057,1051.0
72,Guinea,2015-02-19,3115.0,2067,1048.0
73,Guinea,2015-02-20,3120.0,2072,1048.0
74,Guinea,2015-02-23,3155.0,2086,1069.0
75,Guinea,2015-02-25,3155.0,2091,1064.0
76,Guinea,2015-02-26,3175.0,2101,1074.0
77,Guinea,2015-02-27,3190.0,2113,1077.0
78,Guinea,2015-03-02,3205.0,2127,1078.0
79,Guinea,2015-03-04,3205.0,2127,1078.0
