,Country,Date,Suspected/Confirmed/Probable Cases,Suspected/Confirmed/Probable Deaths,Difference Cases/Deaths
1,Sierra Leone,2014-08-29,1026.0,422,604.0
2,Sierra Leone,2014-09-05,1261.0,491,770.0
3,Sierra Leone,2014-09-08,1361.0,509,852.0
4,Sierra Leone,2014-09-12,1424.0,524,900.0
5,Sierra Leone,2014-09-16,1620.0,562,1058.0
6,Sierra Leone,2014-09-18,1673.0,562,1111.0
7,Sierra Leone,2014-09-22,1813.0,593,1220.0
8,Sierra Leone,2014-09-24,1940.0,597,1343.0
9,Sierra Leone,2014-09-26,2021.0,605,1416.0
10,Sierra Leone,2014-10-01,2304.0,622,1682.0
11,Sierra Leone,2014-10-03,2437.0,623,1814.0
12,Sierra Leone,2014-10-08,2789.0,879,1910.0
13,Sierra Leone,2014-10-10,2950.0,930,2020.0
14,Sierra Leone,2014-10-15,3252.0,1183,2069.0
15,Sierra Leone,2014-10-17,3410.0,1200,2210.0
16,Sierra Leone,2014-10-22,3706.0,1259,2447.0
17,Sierra Leone,2014-10-25,3896.0,1281,2615.0
18,Sierra Leone,2014-10-29,5235.0,1500,3735.0
19,Sierra Leone,2014-10-31,5338.0,1510,3828.0
20,Sierra Leone,2014-11-05,4759.0,1070,3689.0
21,Sierra Leone,2014-11-07,4862.0,1130,3732.0
22,Sierra Leone,2014-11-12,5368.0,1169,4199.0
23,Sierra Leone,2014-11-14,5586.0,1187,4399.0
24,Sierra Leone,2014-11-19,6073.0,1250,4823.0
25,Sierra Leone,2014-11-21,6190.0,1267,4923.0
26,Sierra Leone,2014-11-26,6599.0,1398,5201.0
27,Sierra Leone,2014-12-01,7109.0,1530,5579.0
28,Sierra Leone,2014-12-03,7312.0,1583,5729.0
29,Sierra Leone,2014-12-10,7897.0,1768,6129.0
30,Sierra Leone,2014-12-15,8273.0,2033,6240.0
31,Sierra Leone,2014-12-17,8356.0,2085,6271.0
32,Sierra Leone,2014-12-22,8939.0,2556,6383.0
33,Sierra Leone,2014-12-23,9004.0,2582,6422.0
34,Sierra Leone,2014-12-24,9004.0,2582,6422.0
35,Sierra Leone,2014-12-26,9203.0,2655,6548.0
36,Sierra Leone,2014-12-29,9409.0,2732,6677.0
37,Sierra Leone,2014-12-30,9446.0,2758,6688.0
38,Sierra Leone,2014-12-31,9446.0,2758,6688.0
39,Sierra Leone,2015-01-02,9633.0,2827,6806.0
40,Sierra Leone,2015-01-05,9772.0,2915,6857.0
41,Sierra Leone,2015-01-06,9780.0,2943,6837.0
42,Sierra Leone,2015-01-07,9780.0,2943,6837.0
43,Sierra Leone,2015-01-08,10030.0,2977,7053.0
44,Sierra Leone,2015-01-09,10030.0,2977,7053.0
45,Sierra Leone,2015-01-12,10094.0,3049,7045.0
46,Sierra Leone,2015-01-13,10094.0,3049,7045.0
47,Sierra Leone,2015-01-14,10124.0,3062,7062.0
48,Sierra Leone,2015-01-15,10150.0,3067,7083.0
49,Sierra Leone,2015-01-16,10186.0,3083,7103.0
50,Sierra Leone,2015-01-19,10306.0,3132,7174.0
51,Sierra Leone,2015-01-20,10340.0,3145,7195.0
52,Sierra Leone,2015-01-21,10340.0,3145,7195.0
53,Sierra Leone,2015-01-22,10362.0,3153,7209.0
54,Sierra Leone,2015-01-23,10400.0,3159,7241.0
55,Sierra Leone,2015-01-26,10491.0,3195,7296.0
56,Sierra Leone,2015-01-27,10518.0,3199,7319.0
57,Sierra Leone,2015-01-28,10518.0,3199,7319.0
58,Sierra Leone,2015-01-29,10537.0,3207,7330.0
59,Sierra Leone,2015-01-30,10561.0,3216,7345.0
60,Sierra Leone,2015-02-02,10707.0,3274,7433.0
61,Sierra Leone,2015-02-03,10740.0,3276,7464.0
62,Sierra Leone,2015-02-04,10740.0,3276,7464.0
63,Sierra Leone,2015-02-05,10756.0,3286,7470.0
64,Sierra Leone,2015-02-06,10792.0,3301,7491.0
65,Sierra Leone,2015-02-10,10934.0,3341,7593.0
66,Sierra Leone,2015-02-11,10934.0,3341,7593.0
67,Sierra Leone,2015-02-12,10954.0,3350,7604.0
68,Sierra Leone,2015-02-13,10987.0,3363,7624.0
69,Sierra Leone,2015-02-16,11074.0,3401,7673.0
70,Sierra Leone,2015-02-17,11103.0,3408,7695.0
71,Sierra Leone,2015-02-18,11103.0,3408,7695.0
72,Sierra Leone,2015-02-19,11155.0,3423,7732.0
73,Sierra Leone,2015-02-20,11155.0,3423,7732.0
74,Sierra Leone,2015-02-23,11155.0,3423,7732.0
75,Sierra Leone,2015-02-25,11301.0,3461,7840.0
76,Sierra Leone,2015-02-26,11341.0,3479,7862.0
77,Sierra Leone,2015-02-27,11370.0,3490,7880.0
78,Sierra Leone,2015-03-02,11443.0,3530,7913.0
79,Sierra Leone,2015-03-04,11443.0,3530,7913.0
80,Sierra Leone,2015-03-05,11497.0,3565,7932.0
81,Sierra Leone,2015-03-06,11517.0,3576,7941.0
82,Sierra Leone,2015-03-10,11619.0,3629,7990.0
83,Sierra Leone,2015-03-11,11619.0,3629,7990.0
84,Sierra Leone,2015-03-12,11677.0,3655,8022.0
85,Sierra Leone,2015-03-13,11696.0,3663,8033.0
86,Sierra Leone,2015-03-16,11742.0,3687,8055.0
87,Sierra Leone,2015-03-17,11751.0,3691,8060.0
88,Sierra Leone,2015-03-18,11751.0,3691,8060.0
89,Sierra Leone,2015-03-20,11794.0,3712,8082.0
90,Sierra Leone,2015-03-23,11829.0,3742,8087.0
91,Sierra Leone,2015-03-24,11841.0,3747,8094.0
92,Sierra Leone,2015-03-25,11841.0,3747,8094.0
93,Sierra Leone,2015-03-26,11866.0,3764,8102.0
94,Sierra Leone,2015-03-27,11889.0,3773,8116.0
95,Sierra Leone,2015-04-07,12139.0,3832,8307.0
96,Sierra Leone,2015-04-09,12155.0,3841,8314.0
97,Sierra Leone,2015-04-13,12188.0,3854,8334.0
98,Sierra Leone,2015-04-14,12201.0,3857,8344.0
99,Sierra Leone,2015-04-15,12201.0,3857,8344.0
100,Sierra Leone,2015-04-16,12223.0,3865,8358.0
101,Sierra Leone,2015-04-17,12244.0,3865,8379.0
102,Sierra Leone,2015-04-20,12256.0,3872,8384.0
103,Sierra Leone,2015-04-21,12265.0,3877,8388.0
104,Sierra Leone,2015-04-22,12267.0,3877,8390.0
105,Sierra Leone,2015-04-23,12294.0,3885,8409.0
106,Sierra Leone,2015-04-24,12313.0,3886,8427.0
107,Sierra Leone,2015-04-27,12362.0,3895,8467.0
108,Sierra Leone,2015-04-28,12371.0,3899,8472.0
109,Sierra Leone,2015-04-30,12387.0,3901,8486.0
110,Sierra Leone,2015-05-01,12398.0,3901,8497.0
111,Sierra Leone,2015-05-04,12426.0,3902,8524.0
112,Sierra Leone,2015-05-05,12440.0,3903,8537.0
113,Sierra Leone,2015-05-06,12440.0,3903,8537.0
114,Sierra Leone,2015-05-07,12470.0,3904,8566.0
115,Sierra Leone,2015-05-08,12492.0,3904,8588.0
116,Sierra Leone,2015-05-11,12519.0,3904,8615.0
117,Sierra Leone,2015-05-12,12523.0,3904,8619.0
118,Sierra Leone,2015-05-13,12519.0,3904,8615.0
119,Sierra Leone,2015-05-14,12536.0,3904,8632.0
120,Sierra Leone,2015-05-15,12540.0,3904,8636.0
121,Sierra Leone,2015-05-18,12593.0,3906,8687.0
122,Sierra Leone,2015-05-19,12632.0,3907,8725.0
123,Sierra Leone,2015-05-20,12632.0,3907,8725.0
124,Sierra Leone,2015-05-21,12656.0,3907,8749.0
125,Sierra Leone,2015-05-22,12666.0,3907,8759.0
126,Sierra Leone,2015-05-25,12696.0,3908,8788.0
127,Sierra Leone,2015-05-26,12706.0,3908,8798.0
128,Sierra Leone,2015-05-27,12706.0,3908,8798.0
129,Sierra Leone,2015-05-28,12735.0,3911,8824.0
130,Sierra Leone,2015-05-29,12745.0,3911,8834.0
131,Sierra Leone,2015-06-01,12816.0,3911,8905.0
132,Sierra Leone,2015-06-02,12827.0,3912,8915.0
133,Sierra Leone,2015-06-03,12827.0,3912,8915.0
134,Sierra Leone,2015-06-04,12850.0,3912,8938.0
135,Sierra Leone,2015-06-05,12859.0,3912,8947.0
136,Sierra Leone,2015-06-08,12884.0,3913,8971.0
137,Sierra Leone,2015-06-09,12901.0,3915,8986.0
138,Sierra Leone,2015-06-10,12901.0,3915,8986.0
139,Sierra Leone,2015-06-11,12911.0,3917,8994.0
140,Sierra Leone,2015-06-12,12932.0,3917,9015.0
141,Sierra Leone,2015-06-15,12962.0,3919,9043.0
142,Sierra Leone,2015-06-16,12965.0,3919,9046.0
143,Sierra Leone,2015-06-17,12965.0,3919,9046.0
144,Sierra Leone,2015-06-18,12990.0,3922,9068.0
145,Sierra Leone,2015-06-19,13012.0,3926,9086.0
146,Sierra Leone,2015-06-22,13051.0,3928,9123.0
147,Sierra Leone,2015-06-23,13059.0,3928,9131.0
148,Sierra Leone,2015-06-24,13059.0,3928,9131.0
149,Sierra Leone,2015-06-25,13083.0,3931,9152.0
150,Sierra Leone,2015-06-26,13093.0,3931,9162.0
151,Sierra Leone,2015-06-29,13115.0,3932,9183.0
152,Sierra Leone,2015-06-30,13119.0,3932,9187.0
153,Sierra Leone,2015-07-01,13119.0,3932,9187.0
154,Sierra Leone,2015-07-02,13129.0,3933,9196.0
155,Sierra Leone,2015-07-03,13135.0,3935,9200.0
156,Sierra Leone,2015-07-06,13150.0,3940,9210.0
157,Sierra Leone,2015-07-07,13155.0,3940,9215.0
158,Sierra Leone,2015-07-08,13155.0,3940,9215.0
159,Sierra Leone,2015-07-09,13169.0,3941,9228.0
160,Sierra Leone,2015-07-10,13177.0,3941,9236.0
161,Sierra Leone,2015-07-13,13201.0,3946,9255.0
162,Sierra Leone,2015-07-14,13209.0,3947,9262.0
163,Sierra Leone,2015-07-15,13209.0,3947,9262.0
164,Sierra Leone,2015-07-16,13209.0,3947,9262.0
165,Sierra Leone,2015-07-17,13209.0,3947,9262.0
166,Sierra Leone,2015-07-20,13241.0,3949,9292.0
167,Sierra Leone,2015-07-21,13250.0,3949,9301.0
168,Sierra Leone,2015-07-22,13250.0,3949,9301.0
169,Sierra Leone,2015-07-23,13262.0,3949,9313.0
170,Sierra Leone,2015-07-24,13264.0,3949,9315.0
171,Sierra Leone,2015-07-27,13283.0,3951,9332.0
172,Sierra Leone,2015-07-28,13290.0,3951,9339.0
173,Sierra Leone,2015-07-29,13290.0,3951,9339.0
174,Sierra Leone,2015-07-30,13379.0,3951,9428.0
175,Sierra Leone,2015-07-31,13387.0,3951,9436.0
176,Sierra Leone,2015-08-03,13402.0,3951,9451.0
177,Sierra Leone,2015-08-04,13406.0,3951,9455.0
178,Sierra Leone,2015-08-05,13406.0,3951,9455.0
179,Sierra Leone,2015-08-06,13426.0,3951,9475.0
180,Sierra Leone,2015-08-07,13428.0,3951,9477.0
181,Sierra Leone,2015-08-10,13465.0,3951,9514.0
